Fecha,US3MTBR
12/3/2018,0.02342
12/4/2018,0.02423
12/6/2018,0.0241
12/7/2018,0.02396
12/10/2018,0.02386
12/11/2018,0.02428
12/12/2018,0.02428
12/13/2018,0.0242
12/14/2018,0.02424
12/17/2018,0.02394
12/18/2018,0.02384
12/19/2018,0.02394
12/20/2018,0.02392
12/21/2018,0.02386
12/24/2018,0.02388
12/26/2018,0.02435
12/27/2018,0.0241
12/28/2018,0.02383
12/31/2018,0.02381
1/2/2019,0.02417
1/3/2019,0.02412
1/4/2019,0.02414
1/7/2019,0.02409
1/8/2019,0.02458
1/9/2019,0.02443
1/10/2019,0.02433
1/11/2019,0.02424
1/14/2019,0.02417
1/15/2019,0.02451
1/16/2019,0.0242
1/17/2019,0.0241
1/18/2019,0.02404
1/22/2019,0.02401
1/23/2019,0.0241
1/24/2019,0.02369
1/25/2019,0.02383
1/28/2019,0.02388
1/29/2019,0.02423
1/30/2019,0.02417
1/31/2019,0.02397
2/1/2019,0.02396
2/4/2019,0.02391
2/5/2019,0.02417
2/6/2019,0.02417
2/7/2019,0.02412
2/8/2019,0.02422
2/11/2019,0.02432
2/12/2019,0.02435
2/13/2019,0.0243
2/14/2019,0.0243
2/15/2019,0.02427
2/19/2019,0.02429
2/20/2019,0.02446
2/21/2019,0.02448
2/22/2019,0.0245
2/25/2019,0.0245
2/26/2019,0.02458
2/27/2019,0.02451
2/28/2019,0.0244
3/1/2019,0.02435
3/4/2019,0.02432
3/5/2019,0.02465
3/6/2019,0.02465
3/7/2019,0.0246
3/8/2019,0.02454
3/11/2019,0.02444
3/12/2019,0.0246
3/13/2019,0.02452
3/14/2019,0.02452
3/15/2019,0.02452
3/18/2019,0.02446
3/19/2019,0.0247
3/20/2019,0.02473
3/21/2019,0.02473
3/22/2019,0.02462
3/25/2019,0.02454
3/26/2019,0.0247
3/27/2019,0.02442
3/28/2019,0.02437
3/29/2019,0.024
4/1/2019,0.02392
4/2/2019,0.02434
4/3/2019,0.02437
4/4/2019,0.02434
4/5/2019,0.02434
4/8/2019,0.02429
4/9/2019,0.02429
4/10/2019,0.02427
4/11/2019,0.02429
4/12/2019,0.02441
4/15/2019,0.02423
4/16/2019,0.02442
4/17/2019,0.02439
4/18/2019,0.02429
4/22/2019,0.02441
4/23/2019,0.0245
4/24/2019,0.02434
4/25/2019,0.02429
4/26/2019,0.02423
4/29/2019,0.02423
4/30/2019,0.02432
5/1/2019,0.02427
5/2/2019,0.02437
5/3/2019,0.02431
5/6/2019,0.02426
5/7/2019,0.02432
5/8/2019,0.02434
5/9/2019,0.02434
5/10/2019,0.02429
5/13/2019,0.02413
5/14/2019,0.02416
5/15/2019,0.02409
5/16/2019,0.02401
5/17/2019,0.02393
5/20/2019,0.02382
5/21/2019,0.02393
5/22/2019,0.02378
5/23/2019,0.02365
5/24/2019,0.02354
5/28/2019,0.02356
5/29/2019,0.0236
5/30/2019,0.02372
5/31/2019,0.02354
6/3/2019,0.02341
6/4/2019,0.02357
6/5/2019,0.02342
6/6/2019,0.02313
6/7/2019,0.02274
6/10/2019,0.02279
6/11/2019,0.02272
6/12/2019,0.02221
6/13/2019,0.02198
6/14/2019,0.02182
6/17/2019,0.02195
6/18/2019,0.02226
6/19/2019,0.02182
6/20/2019,0.02136
6/21/2019,0.0211
6/24/2019,0.02112
6/25/2019,0.02139
6/26/2019,0.02149
6/27/2019,0.02144
6/28/2019,0.021
7/1/2019,0.02125
7/2/2019,0.02205
7/3/2019,0.02208
7/5/2019,0.02218
7/8/2019,0.02241
7/9/2019,0.02254
7/10/2019,0.0219
